namespace,cluster,repo,visibility,archived,fork,pushed,disk_kb,language,stars,disposition
31cl,Other,31cl.github.io,PUBLIC,false,true,2024-09-07T05:47:17Z,13908,HTML,0,fork?
ac-evidence,Other,confidential,PRIVATE,false,false,2022-05-27T03:45:53Z,1360,0,,active-lib?
ac-evidence-2022,Other,evidence.private,PRIVATE,false,false,2022-09-17T10:20:02Z,21,0,,active-lib?
aclegacy,Other,ayepages.github.io,PUBLIC,false,true,2021-08-06T16:08:57Z,13973,Ruby,0,fork?
ac-portfolio,Other,ac-portfolio.github.io,PUBLIC,false,true,2022-05-24T06:39:46Z,14701,Ruby,0,fork?
ai4hc,Other,enroll-tools,PUBLIC,false,true,2020-03-29T10:40:01Z,0,0,,stub?
ai4hc,Other,telemed-courses,PUBLIC,false,true,2020-03-29T10:33:44Z,24,0,,fork?
ai4hc,Other,icd10_2018,PUBLIC,false,true,2018-09-01T14:46:51Z,34643,0,,fork?
ai4you,Other,auto-vahan,PUBLIC,false,true,2019-08-02T07:43:48Z,47,Shell,0,fork?
ai4you,Other,blue-code,PUBLIC,false,false,2019-07-30T03:58:01Z,11,Shell,2,active-lib?
ai4you,Other,hindawi2019,PUBLIC,false,true,2019-02-06T11:54:36Z,782,C,0,fork?
ai4you,Other,justice4all,PUBLIC,false,false,2018-09-01T11:07:15Z,0,0,,stub?
apothecurry,Other,ayepages.github.io,PUBLIC,false,true,2021-08-06T16:08:57Z,13973,Ruby,0,fork?
apothecurry,Other,apothecurry.github.io,PUBLIC,false,false,2019-01-15T17:32:46Z,1,HTML,0,stub?
awsar,Legal/Justice,awsar,PUBLIC,false,false,2018-09-01T10:55:55Z,0,0,,stub?
aye1temp,ILM/AyeAI,sahajaport-fixes,PUBLIC,false,true,2022-03-26T05:47:59Z,14703,Ruby,0,fork?
ayeai,AyeAI,contracts,PRIVATE,false,false,2025-03-09T11:09:01Z,0,0,,stub?
ayeai,AyeAI,ayeai.ayeam.com,PUBLIC,false,true,2025-01-16T07:05:00Z,14267,Ruby,0,fork?
ayeai,AyeAI,join,PUBLIC,false,false,2024-08-24T01:21:24Z,1,0,,stub?
ayeai,AyeAI,ayeai,PRIVATE,false,false,2024-04-15T12:35:13Z,0,0,,stub?
ayeai,AyeAI,opssi,PUBLIC,false,false,2023-12-09T06:33:00Z,30,1,,active-lib?
ayeai,AyeAI,ChainOfSurvival.github.io,PUBLIC,false,true,2023-08-20T22:00:12Z,47,Ruby,0,fork?
ayeai,AyeAI,ni2a2,PUBLIC,false,false,2023-08-09T15:51:12Z,20,JavaScript,0,active-lib?
