namespace,cluster,repo,visibility,archived,fork,pushed,disk_kb,language,stars,disposition
ayeai,AyeAI,ayesee,PRIVATE,false,false,2023-08-06T01:44:35Z,5195,0,,active-lib?
ayeai,AyeAI,upload,PUBLIC,false,false,2022-11-29T10:53:27Z,9981,0,,active-lib?
ayeai,AyeAI,chuha,PUBLIC,false,false,2022-11-25T13:54:24Z,8,0,,active-lib?
ayeai,AyeAI,athena,PUBLIC,false,true,2021-08-06T16:08:57Z,13973,Ruby,0,fork?
ayeai,AyeAI,ayeam,PUBLIC,false,true,2021-08-06T16:08:57Z,13973,Ruby,0,fork?
ayeai,AyeAI,ECRs,PRIVATE,false,false,2020-08-12T04:01:39Z,0,0,,stub?
ayeai,AyeAI,anusaaraka,PUBLIC,false,false,2020-02-18T01:23:36Z,72056,CLIPS,0,active-lib?
ayeai,AyeAI,ayevdi,PUBLIC,false,false,2020-02-09T09:08:24Z,290,Awk,1,active-lib?
ayeai,AyeAI,shellinabox,PUBLIC,false,true,2020-01-14T12:48:27Z,4656,C,0,fork?
ayeai,AyeAI,spl,PUBLIC,false,false,2019-12-14T08:45:20Z,13,0,,active-lib?
ayeai,AyeAI,SPL-ignore-and-delete,PUBLIC,false,false,2019-12-14T08:42:19Z,20,0,,active-lib?
ayeai,AyeAI,ayeq,PUBLIC,false,false,2019-12-11T19:19:42Z,4,0,,active-lib?
ayeai,AyeAI,FHIR,PUBLIC,false,true,2019-12-11T17:23:42Z,143253,Java,0,fork?
ayeai,AyeAI,qiskit-terra,PUBLIC,false,true,2019-12-11T17:15:29Z,39942,Python,0,fork?
ayeai,AyeAI,sway,PUBLIC,false,true,2019-12-11T16:53:17Z,28001,C,0,fork?
ayeai,AyeAI,kui,PUBLIC,false,true,2019-12-11T16:41:22Z,17197,TypeScript,0,fork?
ayeai,AyeAI,adversarial-robustness-toolbox,PUBLIC,false,true,2019-12-11T16:34:14Z,83258,Jupyter Notebook,0,fork?
ayeai,AyeAI,qiskit,PUBLIC,false,true,2019-12-11T14:34:21Z,29210,Python,0,fork?
ayeai,AyeAI,qiskit-aer,PUBLIC,false,true,2019-12-11T05:56:15Z,28658,Python,0,fork?
ayeai,AyeAI,kubernetes-cobol,PUBLIC,false,true,2019-12-10T22:34:02Z,13,Dockerfile,0,fork?
ayeai,AyeAI,x11docker,PUBLIC,false,true,2019-12-10T15:45:11Z,32719,Shell,0,fork?
ayeai,AyeAI,AIX360,PUBLIC,false,true,2019-12-10T07:14:09Z,317210,Python,0,fork?
ayeai,AyeAI,runc,PUBLIC,false,true,2019-12-06T22:33:33Z,8197,Go,0,fork?
ayeai,AyeAI,dockerfiles,PUBLIC,false,true,2019-12-06T01:29:19Z,73961,Dockerfile,0,fork?
ayeai,AyeAI,image-tools,PUBLIC,false,true,2019-12-03T04:07:21Z,2451,Go,0,fork?
ayeai,AyeAI,KodExplorer,PUBLIC,false,true,2019-11-29T02:10:49Z,52201,PHP,0,fork?
ayeai,AyeAI,shadow,PUBLIC,false,false,2019-11-27T13:29:15Z,0,0,,stub?
ayeai,AyeAI,util-linux,PUBLIC,false,true,2019-11-26T12:57:40Z,143630,C,0,fork?
ayeai,AyeAI,runtime-tools,PUBLIC,false,true,2019-10-21T03:39:14Z,8907,Go,0,fork?
ayeai,AyeAI,dockersh,PUBLIC,false,true,2019-08-27T20:34:28Z,141,Go,0,fork?
ayeai,AyeAI,Virtual-Studio,PUBLIC,false,true,2019-03-10T20:38:16Z,192312,C#,0,fork?
ayeai,AyeAI,go-digest,PUBLIC,false,true,2019-03-06T12:55:51Z,108,Go,0,fork?
ayeai,AyeAI,ayeai.github.io,PUBLIC,false,false,2019-01-14T10:01:36Z,3,HTML,0,active-lib?
ayeai,AyeAI,bash2python,PUBLIC,false,true,2017-07-24T10:08:36Z,6,Python,0,fork?
ayeai,AyeAI,xmp,PUBLIC,false,true,2016-09-09T17:07:32Z,12289,C++,0,fork?
ayeai,AyeAI,insilico,PUBLIC,false,true,2016-01-16T15:05:01Z,675,C++,0,fork?
ayeatros,AyeAI,twisha.github.io,PUBLIC,false,false,2020-04-29T14:07:52Z,4,0,,active-lib?
ayeatros,AyeAI,ayeatros.github.io,PUBLIC,false,false,2020-03-03T12:35:59Z,8,0,,active-lib?
ayeatros,AyeAI,twisha,PUBLIC,false,false,2020-02-29T16:45:01Z,4,0,,active-lib?
ayeatros,AyeAI,iatros,PUBLIC,false,false,2018-09-01T11:01:28Z,0,0,,stub?
ayebios,ILM/AyeAI,ayebios,PUBLIC,false,true,2021-08-10T01:01:56Z,4405,Python,0,fork?
ayebios,ILM/AyeAI,ayebios.github.io,PUBLIC,false,false,2021-08-05T09:47:51Z,16833,Ruby,0,active-lib?
ayeblas,ILM/AyeAI,ayeblas,PUBLIC,false,true,2021-01-18T22:13:05Z,28845,Fortran,0,fork?
ayeblas,ILM/AyeAI,BLAS-Tester,PUBLIC,false,true,2020-04-27T06:36:48Z,287,Fortran,0,fork?
ayeblas,ILM/AyeAI,ayeblas.github.io,PUBLIC,false,false,2019-01-15T13:43:07Z,1,HTML,0,stub?
AyeBrain,ILM/AyeAI,test_apk,PUBLIC,false,false,2024-10-06T08:47:50Z,3317,0,,active-lib?
ayecnse,ILM/AyeAI,sims,PUBLIC,false,false,2026-02-07T09:07:56Z,141,HTML,0,active-lib?
ayecnse,ILM/AyeAI,ayeam-robot,PUBLIC,false,false,2026-02-01T00:15:18Z,22,JavaScript,0,active-lib?
ayecnse,ILM/AyeAI,kaivalyik,PUBLIC,false,false,2026-01-29T05:56:48Z,17,HTML,0,active-lib?
ayecnse,ILM/AyeAI,forms,PUBLIC,false,false,2026-01-28T09:15:09Z,105,HTML,0,active-lib?
ayecnse,ILM/AyeAI,ai2026.quest,PUBLIC,false,false,2025-12-31T19:10:49Z,14,HTML,0,active-lib?
ayecnse,ILM/AyeAI,ai4all.quest,PUBLIC,false,false,2025-12-31T18:36:56Z,1,HTML,0,stub?
ayecnse,ILM/AyeAI,agi2027.world,PUBLIC,false,false,2025-12-31T18:35:34Z,1,HTML,0,stub?
ayecnse,ILM/AyeAI,cluster-scratch,PRIVATE,false,false,2025-12-30T05:40:20Z,40019,Shell,0,active-lib?
ayecnse,ILM/AyeAI,ayecnse.net,PUBLIC,false,false,2025-12-28T05:43:29Z,24,HTML,0,active-lib?
ayecnse,ILM/AyeAI,ayecnse.org,PUBLIC,false,false,2025-12-27T04:39:14Z,4,HTML,0,active-lib?
ayecnse,ILM/AyeAI,icansee.life,PUBLIC,false,false,2025-12-27T04:35:30Z,3,HTML,0,active-lib?
ayecnse,ILM/AyeAI,ayecnse.life,PUBLIC,false,false,2025-12-27T04:34:51Z,2,HTML,0,active-lib?
ayecnse,ILM/AyeAI,ayecnse.com,PUBLIC,false,false,2025-12-27T04:21:44Z,2,HTML,0,active-lib?
ayecnse,ILM/AyeAI,ayecnse.github.io,PUBLIC,false,false,2025-12-22T06:32:19Z,10,0,,active-lib?
ayecnse,ILM/AyeAI,sct1,PUBLIC,false,false,2025-12-03T02:51:08Z,0,0,,stub?
ayeconsult,ILM/AyeAI,sathi,PRIVATE,false,false,2022-09-12T12:38:58Z,1994,0,,active-lib?
ayeconsult,ILM/AyeAI,ac_evidence_sha,PRIVATE,false,false,2022-07-13T06:50:21Z,668668,0,,active-lib?
ayeconsult,ILM/AyeAI,dataset_antibiogram_uti,PRIVATE,false,false,2022-05-06T09:15:32Z,12161,Python,0,active-lib?
ayeconsult,ILM/AyeAI,upload_test,PRIVATE,false,false,2022-04-30T12:47:18Z,6939,Jupyter Notebook,0,active-lib?
ayeExplore,ILM/AyeAI,ayeExplore.github.io,PUBLIC,false,true,2024-01-18T03:12:02Z,13921,Ruby,0,fork?
ayegames,ILM/AyeAI,ayeracer,PUBLIC,false,false,2019-03-03T14:18:49Z,139511,C++,1,active-lib?
ayegames,ILM/AyeAI,ayegames.github.io,PUBLIC,false,false,2019-03-02T06:32:17Z,9,0,,active-lib?
ayehandsum,ILM/AyeAI,ayehandsum,PUBLIC,false,false,2021-01-19T15:42:49Z,199,0,,active-lib?
ayeinterns,ILM/AyeAI,MLbased_analysis,PUBLIC,false,false,2022-06-21T16:27:14Z,197,Jupyter Notebook,0,active-lib?
ayeinterns,ILM/AyeAI,tools,PUBLIC,false,false,2022-04-30T07:25:55Z,31,Jupyter Notebook,0,active-lib?
ayeinterns,ILM/AyeAI,ayeinterns-winter2021,PUBLIC,false,false,2022-03-29T08:09:29Z,10215,JavaScript,0,active-lib?
ayeinterns,ILM/AyeAI,ayeinterns.github.io,PUBLIC,false,true,2022-03-25T00:39:34Z,13908,Ruby,0,fork?
ayeinterns,ILM/AyeAI,Ayeinterns-summer2019,PUBLIC,false,false,2019-09-18T15:21:25Z,361,Shell,0,active-lib?
ayeinterns,ILM/AyeAI,Neuro-Projects,PUBLIC,false,false,2019-08-31T11:23:38Z,0,0,,stub?
ayelearn,ILM/AyeAI,ayetest,PUBLIC,false,false,2024-01-18T11:33:10Z,0,0,,stub?
ayelearn,ILM/AyeAI,ayelearntools,PUBLIC,false,false,2022-10-19T07:23:35Z,25,Jupyter Notebook,0,active-lib?
ayelearn,ILM/AyeAI,kalyan,PUBLIC,false,true,2022-06-03T00:39:12Z,2239,Jupyter Notebook,0,fork?
ayelearn,ILM/AyeAI,instructor,PUBLIC,false,false,2021-07-22T13:01:02Z,0,0,,stub?
ayelearn,ILM/AyeAI,ayelearn-python-101,PUBLIC,false,false,2020-03-12T12:23:18Z,14,Python,0,active-lib?
ayelearn,ILM/AyeAI,fet,PUBLIC,false,false,2019-08-12T02:00:43Z,78541,HTML,0,active-lib?
ayeml,ILM/AyeAI,ayeml.github.io,PUBLIC,false,false,2019-01-15T09:50:45Z,1,HTML,0,stub?
ayepages,ILM/AyeAI,ayepages.github.io,PUBLIC,false,true,2021-08-06T16:08:57Z,13973,Ruby,1,fork?
ayepages,ILM/AyeAI,template,PUBLIC,false,false,2021-06-29T13:10:36Z,10772,Jupyter Notebook,0,active-lib?
ayepages,ILM/AyeAI,tui.editor,PUBLIC,false,true,2021-06-21T05:59:26Z,61491,TypeScript,0,fork?
ayepreet,ILM/AyeAI,jslogo,PUBLIC,false,true,2021-07-20T06:04:22Z,1034,JavaScript,0,fork?
ayepreet,ILM/AyeAI,ayepreet.github.io,PUBLIC,false,true,2021-07-20T03:54:43Z,10793,Jupyter Notebook,0,fork?
ayepreet,ILM/AyeAI,preet,PUBLIC,false,false,2021-07-20T01:04:55Z,2,0,,active-lib?
ayepy,ILM/AyeAI,ayepy.github.io,PUBLIC,false,false,2019-01-14T12:10:42Z,0,0,,stub?
ayeque,ILM/AyeAI,ayeque.github.io,PUBLIC,false,false,2022-09-22T00:22:31Z,1987,0,,active-lib?
ayeque,ILM/AyeAI,ayevdi,PUBLIC,false,true,2020-01-11T07:51:19Z,426,Shell,0,fork?
ayerunner,AyeAI,nbrunner,PUBLIC,false,false,2021-09-26T15:33:42Z,2049,Jupyter Notebook,0,active-lib?
ayerunner,AyeAI,chintamani,PUBLIC,false,true,2021-09-26T07:30:54Z,2444,C,0,fork?
ayerunner,AyeAI,unani,PUBLIC,false,true,2018-09-01T18:41:37Z,34742,0,,fork?
ayestat,ILM/AyeAI,ayestat.github.io,PUBLIC,false,false,2020-03-03T12:28:46Z,8,0,,active-lib?
ayetalk,ILM/AyeAI,speech,PUBLIC,false,false,2020-03-03T18:25:02Z,0,0,,stub?
ayetalk,ILM/AyeAI,language,PUBLIC,false,false,2020-03-03T18:24:31Z,0,0,,stub?
ayetalk,ILM/AyeAI,simple-recorderjs-demo,PUBLIC,false,true,2020-01-22T16:41:05Z,17,JavaScript,0,fork?
ayeui,ILM/AyeAI,ayeui.github.io,PUBLIC,false,false,2020-03-03T12:57:22Z,8,0,,active-lib?
ayevdi,ILM/AyeAI,ayevdi,PUBLIC,false,false,2022-06-20T01:14:41Z,189,Shell,1,active-lib?
ayevdi,ILM/AyeAI,messages,PUBLIC,false,false,2022-01-13T13:31:10Z,16,0,,active-lib?
ayevdi,ILM/AyeAI,ayevdi.github.io,PUBLIC,false,true,2021-09-22T14:38:21Z,15618,Ruby,0,fork?
ayevdi,ILM/AyeAI,ayevdi_dummy,PUBLIC,false,false,2020-01-31T13:08:48Z,660,Shell,0,active-lib?
ayevdi,ILM/AyeAI,ayevdi.github.io_old,PUBLIC,false,false,2020-01-09T03:46:17Z,17,0,,active-lib?
ayevdi,ILM/AyeAI,profiles,PUBLIC,false,false,2020-01-05T14:44:58Z,8,0,,active-lib?
ayevdi,ILM/AyeAI,ayevdi-ignore-and-delete,PUBLIC,false,false,2019-12-14T04:44:05Z,4,0,,active-lib?
ayevdi,ILM/AyeAI,ayevdi-origin,PUBLIC,false,true,2019-11-29T14:22:23Z,163,Shell,0,fork?
ayevdi,ILM/AyeAI,KodExplorer,PUBLIC,false,true,2019-11-29T02:10:49Z,52201,PHP,0,fork?
ayevh,AyeAI,clinAI,PUBLIC,false,false,2024-10-24T18:17:20Z,50,0,,active-lib?
ayevh,AyeAI,ayevh,PUBLIC,false,false,2024-06-19T17:53:01Z,1535,0,,active-lib?
ayevh,AyeAI,openemr,PUBLIC,false,true,2020-12-18T08:44:31Z,466190,PHP,0,fork?
ayevh,AyeAI,healthcare,PUBLIC,false,true,2020-06-25T01:01:27Z,9,0,,fork?
ayevh,AyeAI,ayeatros-syllabus,PUBLIC,false,false,2020-03-03T12:14:24Z,27,0,,active-lib?
ayur-repo,Medical/Health,ayurv,PUBLIC,false,true,2018-09-01T15:28:29Z,34641,0,,fork?
biotech-repo,Medical/Health,icd10_2018,PUBLIC,false,true,2018-09-01T15:42:26Z,34640,0,,fork?
blendedreality,IoT/XR/Robotics,icd10_2018,PUBLIC,false,true,2018-09-01T15:56:13Z,34630,0,,fork?
BoliAI,Other,BoliAI.github.io,PUBLIC,false,true,2024-04-10T23:53:19Z,6999,JavaScript,0,fork?
BoliAI,Other,2024.04.10,PUBLIC,false,true,2024-04-10T14:27:54Z,2358,Jupyter Notebook,0,fork?
changer-quest,Education,game,PUBLIC,false,true,2024-10-22T05:10:48Z,15799,Ruby,0,fork?
charak-repo,Medical/Health,charak-repo.github.io,PUBLIC,false,false,2018-09-01T12:19:21Z,2,HTML,0,active-lib?
charak-repo,Medical/Health,icd10_2018,PUBLIC,false,false,2018-09-01T12:11:43Z,24895,0,,active-lib?
chu-ha,Other,chu-ha.github.io,PUBLIC,false,true,2022-11-25T15:57:21Z,10771,Jupyter Notebook,0,fork?
convdiag,Medical/Health,drivers,PUBLIC,false,false,2020-05-27T21:19:17Z,0,0,,stub?
convdiag,Medical/Health,icd10_2018,PUBLIC,false,true,2018-09-01T15:00:35Z,34647,0,,fork?
covid-tools,Other,telemed-courses,PUBLIC,false,false,2020-03-29T10:41:09Z,26,0,,active-lib?
covid-tools,Other,enroll-tools,PUBLIC,false,false,2020-03-29T10:40:01Z,1,0,,stub?
covid-tools,Other,lp_pct,PUBLIC,false,false,2020-03-24T13:12:14Z,15,0,,active-lib?
covid-tools,Other,covid-tools.github.io,PUBLIC,false,false,2020-03-18T23:54:31Z,2,0,,active-lib?
covid-tools,Other,copyright-analysis,PUBLIC,false,false,2020-03-18T23:44:52Z,18,0,,active-lib?
covid-tools,Other,product-vision,PUBLIC,false,false,2020-03-18T04:08:33Z,4,0,,active-lib?
digihealthindia,Medical/Health,digihealthindia.github.io,PUBLIC,false,false,2019-08-15T05:18:13Z,20,0,,active-lib?
digihealthindia,Medical/Health,DHIA-docs,PUBLIC,false,false,2019-08-15T05:09:00Z,16,0,,active-lib?
DrAdvaita,Medical/Health,icd10_2018,PUBLIC,false,true,2018-09-01T15:14:25Z,34641,0,,fork?
flickerro,Other,services,PUBLIC,false,false,2024-10-12T07:15:59Z,126,HTML,1,active-lib?
flickerro,Other,flickerro.github.io,PUBLIC,false,true,2024-10-08T18:02:37Z,13883,Ruby,0,fork?
fursa-repo,Legal/Justice,fursa,PUBLIC,false,false,2018-09-01T10:59:10Z,0,0,,stub?
gcsrp,Other,gcsrp.github.io,PUBLIC,false,true,2024-10-21T18:48:54Z,15799,Ruby,0,fork?
genetics-repo,Medical/Health,icd10_2018,PUBLIC,false,true,2018-09-01T16:37:26Z,34631,0,,fork?
gsfcore,GramSheel/NGO,gsftheme,PUBLIC,false,true,2024-10-21T11:46:28Z,47234,HTML,0,fork?
gsfcore,GramSheel/NGO,word_cloud,PUBLIC,false,true,2020-07-30T08:44:27Z,108710,Python,0,fork?
gsfcore,GramSheel/NGO,xterm_live,PUBLIC,false,false,2020-07-20T11:22:05Z,537,HTML,0,active-lib?
gsfcore,GramSheel/NGO,gsfcore.github.io,PUBLIC,false,false,2020-07-01T00:20:09Z,450,Ruby,0,active-lib?
gsfcore,GramSheel/NGO,healthcare,PUBLIC,false,false,2020-06-25T01:01:27Z,9,0,,active-lib?
gsfcore,GramSheel/NGO,education,PUBLIC,false,false,2020-06-24T22:17:04Z,8,0,,active-lib?
gsftwisha,GramSheel/NGO,gsftwisha.github.io,PUBLIC,false,true,2022-03-31T14:05:29Z,37725,Ruby,0,fork?
gsfvikram,GramSheel/NGO,gsftheme,PUBLIC,false,true,2024-10-21T11:48:44Z,47234,HTML,0,fork?
gsfvikram,GramSheel/NGO,healthcare,PUBLIC,false,true,2020-07-22T12:13:43Z,9,0,,fork?
gsfvikram,GramSheel/NGO,gsfvikram.github.io,PUBLIC,false,true,2020-07-22T11:26:46Z,443,Ruby,0,fork?
gsfvikram,GramSheel/NGO,education,PUBLIC,false,true,2020-06-24T22:17:04Z,8,0,,fork?
health2030,Medical/Health,hitme,PUBLIC,false,false,2022-11-18T18:49:51Z,452,0,,active-lib?
health2030,Medical/Health,demo-repository,PRIVATE,false,false,2022-10-19T17:14:35Z,2,HTML,0,active-lib?
health2030,Medical/Health,bahmni-e2e-tests,PUBLIC,false,true,2022-09-14T14:09:36Z,528211,Dockerfile,0,fork?
health2030,Medical/Health,performance-test,PUBLIC,false,true,2022-09-14T13:01:00Z,16189,Scala,0,fork?
health2030,Medical/Health,speech-assistant-frontend,PUBLIC,false,true,2022-09-14T12:55:20Z,74,TypeScript,0,fork?
health2030,Medical/Health,openmrs-module-appointments-frontend,PUBLIC,false,true,2022-09-14T11:48:30Z,31368,JavaScript,0,fork?
health2030,Medical/Health,helm-charts,PUBLIC,false,true,2022-09-14T11:30:29Z,982,0,,fork?
health2030,Medical/Health,bahmni-lab-frontend,PUBLIC,false,true,2022-09-14T11:18:26Z,9441,JavaScript,0,fork?
health2030,Medical/Health,OpenElis,PUBLIC,false,true,2022-09-14T11:15:43Z,64346,Java,0,fork?
health2030,Medical/Health,form-controls,PUBLIC,false,true,2022-09-14T11:12:30Z,5256,JavaScript,0,fork?
health2030,Medical/Health,speech-assistant-package,PUBLIC,false,true,2022-09-14T10:05:11Z,7,Shell,0,fork?
health2030,Medical/Health,openmrs-module-bahmniapps,PUBLIC,false,true,2022-09-14T09:38:31Z,25809,JavaScript,0,fork?
health2030,Medical/Health,crater-atomfeed,PUBLIC,false,true,2022-09-14T07:27:17Z,44225,Java,0,fork?
health2030,Medical/Health,default-config,PUBLIC,false,true,2022-09-14T04:33:37Z,55062,Groovy,0,fork?
health2030,Medical/Health,bahmni-infra-utils,PUBLIC,false,true,2022-09-14T04:32:27Z,3,Shell,0,fork?
health2030,Medical/Health,bahmni-e2e-common-flows,PUBLIC,false,true,2022-09-13T16:23:18Z,1463,JavaScript,0,fork?
health2030,Medical/Health,bahmni-k8s,PUBLIC,false,true,2022-09-13T13:49:29Z,33,JavaScript,0,fork?
health2030,Medical/Health,bahmni-core,PUBLIC,false,true,2022-09-13T13:05:04Z,9137,Java,0,fork?
health2030,Medical/Health,openmrs-distro-bahmni,PUBLIC,false,true,2022-09-13T07:35:20Z,49127,Dockerfile,0,fork?
health2030,Medical/Health,bahmni-diagrams,PUBLIC,false,true,2022-09-13T06:57:33Z,9549,0,,fork?
health2030,Medical/Health,openmrs-module-appointments,PUBLIC,false,true,2022-09-11T14:19:04Z,969,Java,0,fork?
health2030,Medical/Health,another-covid,PUBLIC,false,false,2022-09-09T12:02:28Z,0,0,,stub?
health2030,Medical/Health,cool-project,PUBLIC,false,true,2022-09-09T12:00:30Z,5,0,,fork?
health2030,Medical/Health,bahmni-infra,PUBLIC,false,true,2022-09-08T07:50:53Z,150,HCL,0,fork?
health2030,Medical/Health,bahmni-package,PUBLIC,false,true,2022-09-07T10:13:50Z,8336,Shell,0,fork?
health2030,Medical/Health,bahmni-playbooks,PUBLIC,false,true,2022-09-07T08:33:53Z,2828,Perl,0,fork?
health2030,Medical/Health,bahmni-test-data-generator,PUBLIC,false,true,2022-09-06T12:40:42Z,130,Java,0,fork?
health2030,Medical/Health,crater-extensions,PUBLIC,false,true,2022-09-04T15:54:33Z,16,PHP,0,fork?
health2030,Medical/Health,patient-documents,PUBLIC,false,true,2022-09-02T10:55:53Z,11,JavaScript,0,fork?
health2030,Medical/Health,openmrs-module-bahmni.ie.apps,PUBLIC,false,true,2022-08-29T07:09:04Z,274,Java,0,fork?
health2030,Medical/Health,openmrs-module-fhir2Extension,PUBLIC,false,true,2022-08-26T06:17:10Z,86,Java,0,fork?
health2030,Medical/Health,bahmni-reports,PUBLIC,false,true,2022-08-24T04:11:49Z,1249,Java,0,fork?
health2030,Medical/Health,implementer-interface,PUBLIC,false,true,2022-08-22T04:19:59Z,3562,JavaScript,0,fork?
health2030,Medical/Health,openmrs-module-episodes,PUBLIC,false,true,2022-08-08T09:15:53Z,59,Java,0,fork?
health2030,Medical/Health,utilities,PUBLIC,false,true,2022-08-08T05:15:21Z,17192,FreeMarker,0,fork?
health2030,Medical/Health,pacs-integration,PUBLIC,false,true,2022-08-08T02:53:37Z,182,Java,0,fork?
health2030,Medical/Health,crater,PUBLIC,false,true,2022-08-05T04:25:10Z,43246,PHP,0,fork?
health2030,Medical/Health,bahmni-scripts,PUBLIC,false,true,2022-08-04T04:59:43Z,48121,Shell,0,fork?
health2030,Medical/Health,emr-functional-tests,PUBLIC,false,true,2022-07-22T00:55:21Z,257201,Ruby,0,fork?
health2030,Medical/Health,bahmni-commons-ng,PUBLIC,false,true,2022-07-20T01:00:12Z,1000,JavaScript,0,fork?
health2030,Medical/Health,openmrs-module-rulesengine,PUBLIC,false,true,2022-07-14T06:56:18Z,193,Java,0,fork?
health2030,Medical/Health,pacsquery,PUBLIC,false,true,2022-07-14T06:55:18Z,63,Java,0,fork?
health2030,Medical/Health,audit-log,PUBLIC,false,true,2022-07-14T06:55:12Z,70,Java,0,fork?
health2030,Medical/Health,bahmni-java-utils,PUBLIC,false,true,2022-07-14T06:50:32Z,473,Java,0,fork?
health2030,Medical/Health,openerp-atomfeed-service,PUBLIC,false,true,2022-07-07T19:12:03Z,611,Java,0,fork?
health2030,Medical/Health,bahmni-appointments-functional-tests,PUBLIC,false,true,2022-07-07T13:08:04Z,300,JavaScript,0,fork?
health2030,Medical/Health,person-management-app,PUBLIC,false,true,2022-07-07T08:21:42Z,1608,JavaScript,0,fork?
health2030,Medical/Health,bahmni-connect,PUBLIC,false,true,2022-07-04T04:34:46Z,21753,JavaScript,0,fork?
health2030,Medical/Health,bahmni-feed-integration-example,PUBLIC,false,true,2022-06-24T05:12:58Z,50,Java,0,fork?
health2030,Medical/Health,openmrs-module-idgen-webservices,PUBLIC,false,true,2022-06-23T12:10:56Z,101,Java,0,fork?
health2030,Medical/Health,bacteriology,PUBLIC,false,true,2022-06-23T07:04:37Z,230,Java,0,fork?
health2030,Medical/Health,bahmni-offline-sync,PUBLIC,false,true,2022-06-21T00:48:49Z,236,Java,0,fork?
health2030,Medical/Health,event-log-service,PUBLIC,false,true,2022-06-21T00:00:08Z,173,Java,0,fork?
health2030,Medical/Health,openmrs-module-bedmanagement,PUBLIC,false,true,2022-06-10T16:51:47Z,534,JavaScript,0,fork?
health2030,Medical/Health,db-setup-helm-chart,PUBLIC,false,true,2022-06-10T09:09:42Z,4,0,,fork?
health2030,Medical/Health,crater-docs,PUBLIC,false,true,2022-05-09T06:28:43Z,12474,JavaScript,0,fork?
health2030,Medical/Health,openmrs-module-emrapi,PUBLIC,false,true,2022-04-12T07:12:17Z,2284,Java,0,fork?
health2030,Medical/Health,bahmni-tw-playbooks,PUBLIC,false,true,2022-03-29T07:26:22Z,310,Shell,0,fork?
health2030,Medical/Health,bahmni-frontend,PUBLIC,false,true,2022-03-29T06:24:32Z,4911,TypeScript,0,fork?
health2030,Medical/Health,openmrs-module-bahmniendtb,PUBLIC,false,true,2022-03-16T07:54:08Z,370,Java,0,fork?
health2030,Medical/Health,openmrs-module-flowsheet,PUBLIC,false,true,2022-03-16T07:52:48Z,57,Java,0,fork?
health2030,Medical/Health,bahmni-offline,PUBLIC,false,true,2022-03-10T05:47:34Z,73034,JavaScript,0,fork?
health2030,Medical/Health,odoo-modules,PUBLIC,false,true,2022-03-03T12:58:17Z,1520,Python,0,fork?
health2030,Medical/Health,two-factor-auth,PUBLIC,false,true,2022-03-01T09:51:26Z,2880,Java,0,fork?
health2030,Medical/Health,openmrs-module-insurance-integration,PUBLIC,false,true,2022-03-01T09:33:41Z,52,Java,0,fork?
